Dados sensor de vazao
id:   SV40L
unidade:   l/s
Numero de amostras: 1000
Periodo de amostragem (s): 1
Horario,dado
07:17:00,54
07:17:01,62
07:17:02,44
07:17:03,15
07:17:04,26
07:17:05,74
07:17:06,69
07:17:07,34
07:17:08,41
07:17:09,36
07:17:10,15
07:17:11,61
07:17:12,39
07:17:13,64
07:17:14,25
07:17:15,43
07:17:16,76
07:17:17,52
07:17:18,67
07:17:19,21
07:17:20,58
07:17:21,77
07:17:22,39
07:17:23,17
07:17:24,24
07:17:25,34
07:17:26,48
07:17:27,81
07:17:28,35
07:17:29,44
07:17:30,28
07:17:31,72
07:17:32,73
07:17:33,46
07:17:34,77
07:17:35,39
07:17:36,46
07:17:37,23
07:17:38,23
07:17:39,15
07:17:40,30
07:17:41,83
07:17:42,73
07:17:43,74
07:17:44,58
07:17:45,70
07:17:46,20
07:17:47,28
07:17:48,80
07:17:49,53
07:17:50,50
07:17:51,49
07:17:52,79
07:17:53,52
07:17:54,26
07:17:55,52
07:17:56,69
07:17:57,22
07:17:58,73
07:17:59,43
07:18:00,72
07:18:01,56
07:18:02,36
07:18:03,66
07:18:04,30
07:18:05,19
07:18:06,33
07:18:07,61
07:18:08,31
07:18:09,72
07:18:10,19
07:18:11,56
07:18:12,69
07:18:13,72
07:18:14,80
07:18:15,54
07:18:16,66
07:18:17,47
07:18:18,73
07:18:19,70
07:18:20,48
07:18:21,19
07:18:22,28
07:18:23,47
07:18:24,32
07:18:25,53
07:18:26,16
07:18:27,50
07:18:28,55
07:18:29,17
07:18:30,34
07:18:31,49
07:18:32,34
07:18:33,17
07:18:34,46
07:18:35,68
07:18:36,41
07:18:37,50
07:18:38,26
07:18:39,42
07:18:40,47
07:18:41,73
07:18:42,68
07:18:43,29
07:18:44,54
07:18:45,78
07:18:46,46
07:18:47,23
07:18:48,35
07:18:49,61
07:18:50,16
07:18:51,40
07:18:52,31
07:18:53,62
07:18:54,18
07:18:55,62
07:18:56,57
07:18:57,23
07:18:58,36
07:18:59,37
07:19:00,51
